question,tag,correction
Can we define our customized placement strategy?,ray-core,
How to resolve NCCL error?,cluster,
How can I submit a Ray Serve Deployment such that it doesn't get submitted to the head node and instead goes to a worker node?,serve,
What does job submitter pod do?,cluster,
How can I change the log format for a ray serve application?,serve,
What is the default batch size for `map_batches` when using CPUs?,data,
How can I change the log format to json from my replicas in a Ray Serve application?,serve,
Where can I read about the Ray job management HTTP APIs?,cluster,
Does ray use TCP to communicate between nodes on a cluster?,cluster,
"when i use ray.get, python prematurely terminates after ray.get is finished even if i have more code afterwards",ray-core,
if ray is connected how can i create a JobSubmissionClient,cluster,
is there a way to prevent tasks from scheduling on certain workers or underlying nodes — I’m trying to reserve my gpu instances solely for gpu related tasks?,ray-core,
Show me how to execute a list or dict of configs for different experiments.,cluster,ray-core
Show me how to execute a list of duct of configs for different experiences,cluster,ray-core
I want to train multiple experiments with different configuration for each one,cluster,ray-core
Bind ray dashboard to private 10.x IP instead of local host.,cluster,
bind ray dashboard to external IP,cluster,
how to port forward a ray dashboard?,cluster,
can you write code to deploy a model on a server for me at scale?,other,serve
I have dataset. I just want to take one column out and convert it to list. How to do it ?,data,
can I set max_restarts=-1 for actors?,ray-core,
what is ray air,other,
How to set environment variable in RAY_CONFIG,ray-core,
please write me code to make a few actors that use a gpu that use an autoscaler,cluster,
How should I install docker in a ray cloud yaml file,cluster,
I try to use 2 submodels in my custom model which both use memory. how to initialize and split the memory accurately,rllib,other
i try to use 2 submodels which both use memory. how to initiliaze and split the memory accurately,ray-core,other
how is port 5044 used?,tune,other
What version of ray had the first implementation dreamer v3 algorithm?,rllib,
in my multiagent env i have a custom variable self.portfolio return which is part of the info dict returned from some agents and I want to log that custom metric to tensorboard so that tune can optimize the trials towards that metric,tune,
How to serve with ray when the observation includes a numpy array,serve,
Can ray run the same task successfully more than once?,ray-core,
"I have a scheduler that allows for a task to be retried if the node it's on gets reclaimed by a higher priority user before finishing. However, I'm noticing cases where the ray dashboard reports that a job has been retried but both of the tries succeeded. How could this happen?",ray-core,
node.execute() takes a lot of time to submit,ray-core,
Is it possible to log custom metric from the gym env to the tensorboard (the variable is available innige step method as self.portfolio_return),cluster,rllib
can I make a join between ray datasets?,data,
what is OPE,tune,rllib
what is the difference between ray/tune/episode_reward_max and ray/tune/sampler_results/episode_reward_max,tune,
what's the difference between the ray:latest and ray:nightly docker images?,cluster,
how to install ray globally,cluster,
what should I do with ERROR services.py:1291 -- [Errno 13] Permission denied,cluster,other
How do I change the ray dashboard port to 443?,cluster,
Which cloud provider to use for deploying ray serve,cluster,
Ab wann macht fractional gpu für rllib sinn?,rllib,
Was ist mit fractional gpu gemeint?,tune,ray-core
"What could be the reason that when i use working_dir with a zip file when deploying a ray serve app on windows, it doesn't find the python scripts inside the working dir when trying to import",cluster,ray-core
list all ray start flags,cluster,
I am trying to run .evaluate() on new_ppo = ppo.PPO.from_checkpoint(checkpoint) new_ppo.evaluate() but get ValueError: Cannot evaluate w/o an evaluation worker set in the Trainer or w/o an env on the local worker! How to solve this?,rllib,
how do i change the documentaiton version on the site,other,
read text,data,
callback,tune,
How can I manage secrets in ray in a secure way?,ray-core,
what are you?,other,
can i start 3 workers to stay permanent and set autoscaling with ray cluster helm chart,cluster,
"I used tune to run PPO algorithm on a custom environment. I ran this environment env = gym.make(""CartPole-v1"") . How do i use the checkpoints to check models performance and then restart the run",rllib,
"Quiero saber si se puede entrenar un modelo SlateQ sin usar un environment, si no usando un replay_buffer con datos calculados en batch",rllib,
"How do I get the last action taken in an episode, with episodeV2",rllib,
is there a way to have an autoscaling pool of actors?,other,ray-core
how can a ray task get the user who started that task?,ray-core,ray-observability
"how do i register a custom env, pls give me a code example",tune,rllib
"How much wood would a woodchuck chuck, if a woodchuck could chuck wood?",tune,other
was ist max_seq_len,tune,rllib
"I used tune to run PPO algorithm on a custom environment. I ran this environment env = gym.make(""CartPole-v1"") . How do i use the checkpoints to check models performance",rllib,tune
why sometimes we use ray.init() and sometimes we dont?,ray-core,
how do I deply LLM ?,other,
"In an RL training, how to compute the reward after 100 timesteps ?",rllib,
"using this what you gave me: from ray.rllib.agents.callbacks import DefaultCallbacks Then, you can define your custom callback class by inheriting from DefaultCallbacks: class CustomCallbacks(DefaultCallbacks): def on_learn_on_batch(self, *, policy, train_batch, result, **kwargs): result[""custom_metrics""][""current_portfolio_return""] = np.mean(train_batch[""infos""][""current_portfolio_return""]). I am getting this error: AttributeError: 'CustomCallbacks' object has no attribute 'setup'",rllib,
I am running a tune expirement (RLLIB custom env) in the step method I am returning a custom metric in the info dicttionary and I want tune to optimize towards this metric. how can I make this custom metric available to tune?,tune,
"I want to follow a tutorial with offline data, what do you recomend?",data,
how do i speed up my env,rllib,
geht der gtrxl agent über alle eingaben von observation oder wird die observation immer abgeschnitten und es geht ein teil in der observation?,rllib,
Can I add a fcnet after the LSTM with post_fcnet_hiddens,tune,rllib
"was heisst das hier: memory_training: The number of timesteps to concat (time axis) and feed into the next transformer unit as training input (plus the actual input sequence of len=max_seq_len). The first transformer unit will receive this number of past observations (plus the input sequence), instead.+",rllib,
how can I handle errors in ray data map?,data,
I have a custom gym environment for my DRL problem. It works with Ray. I registered and it takes 4 arguments to work (defined in env_config). How do I write a script that takes this environment and tests learning rate values to find the optimum hyperparameters with Tune?,other,
how to run pamda at scale using ray,ray-core,
was ist beim rllib max_seq_len?,rllib,
was ist max_seq_len beim gtrxl ?,tune,rllib
was ist max_seq_len?,tune,rllib
why I need Ray?,ray-core,other
"air.RunConfig(local_dir=""./results"")是幹嘛的",ray-core,train
如何限制 ray::IDLE 数量,ray-core,
how can I parallelize my search in a spark environment?,tune,other
How to tune using hyperoptsearch and ashascheduler,tune,
"Meine Observation hat die Länge 932 und mein Model ist so konfiguriert: model={ ""use_attention"": not args.no_attention, ""max_seq_len"": 10, ""attention_num_transformer_units"": 1, ""attention_dim"": 32, ""attention_memory_inference"": 10, ""attention_memory_training"": 10, ""attention_num_heads"": 1, ""attention_head_dim"": 32, ""attention_position_wise_mlp_dim"": 32, }, soll ich mein max_seq_len verlängern, wenn ich meinen kompletten observation betrachten möchte?",rllib,
